substation;ied;osc;channel_index;channel_name;id_hint;description;triggered;first_rise_dt;n_rises;stem;status;error
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000031499-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:00:33.116091-03:00;2.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000031499-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000031499-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000032689-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:00:33.115651-03:00;2.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000032689-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000032689-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000035661-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:00:37.278200-03:00;1.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000035661-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000035661-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000532139-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:05:32.191091-03:00;2.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000532139-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000532139-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000533806-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:05:35.424991-03:00;1.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000533806-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000533806-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000542476-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000542476-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-000542476-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001221529-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:12:21.631117-03:00;2.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001221529-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001221529-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001225122-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:12:26.740989-03:00;2.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001225122-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001225122-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001225538-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:12:26.740250-03:00;2.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001225538-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001225538-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001506796-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:15:08.415130-03:00;1.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001506796-OSC;2.0;2|MCB TP ABERTO      On (CI2);CI2;MCB TP ABERTO;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001506796-OSC;3.0;3|FALHA COMUT PCP    On (CI3);CI3;FLH COMUT PCP;False;;0.0;;;
SE_RJTRIO;RJTRIO_PL1_UPD1;RJTRIO_PL1_UPD1-20250722-001511014-OSC;1.0;VO1|TRIGGER_OSC      On (VO1);VO1;TRIGGER_OSC;True;2025-07-22T00:15:12.633446-03:00;1.0;;;
