substation;ied;directory;stem;expected;present;missing;zero_kb;max_arrival_skew_s;received_ts;integrity_ok;size_cfg;size_dat;size_hdr;size_inf
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000038351-OSC;.cfg,.dat,.hdr;.cfg,.dat,.hdr;;.dat;30.0;1753164130.0;False;5583.0;0;526.0;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000039500-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164132.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000050764-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;2.0;1753164164.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000058265-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164194.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000126875-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164224.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000138766-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164254.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000238140-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;2.0;1753164286.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000344906-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164316.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000556115-OSC;.cfg,.dat,.hdr;.cfg,.dat,.hdr;;.hdr;0.0;1753164478.0;False;5583.0;832;0.0;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000613685-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;;12.0;1753164520.0;False;5583.0;1292928;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000642558-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;2.0;1753164522.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000743787-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164552.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000811489-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164582.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000846032-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164612.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-000928545-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;;14.0;1753164656.0;False;5583.0;1292928;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001044707-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;;14.0;1753164700.0;False;5583.0;1292928;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001048976-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164700.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001058397-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;;12.0;1753164742.0;False;5583.0;1292928;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001156217-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164774.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001204247-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164804.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001215919-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753164834.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001529038-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;;12.0;1753165028.0;False;5583.0;1292928;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001555133-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;2.0;1753165030.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001604007-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;;16.0;1753165076.0;False;5583.0;1292928;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001659431-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;0.0;1753165076.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001742357-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;.dat;2.0;1753165108.0;False;5583.0;0;;
SE_RJTRIO;RJTRIO_PL1_UPD1;C:\Users\renan\OneDrive\Área de Trabalho\WaveForms_1;RJTRIO_PL1_UPD1-20250722-001745408-OSC;.cfg,.dat,.hdr;.cfg,.dat;.hdr;;22.0;1753165160.0;False;5583.0;1292928;;
